DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2024,ES,1,ES21,1,307.66372,1,2,1
2024,ES,2,ES21,1,492.73213,1,2,1
2024,ES,3,ES21,1,687.86268,1,2,1
2024,ES,4,ES21,1,568.66577,1,2,1
2024,ES,5,ES21,1,947.00090,1,2,1
2024,ES,6,ES21,1,663.45974,1,2,1
2024,ES,7,ES21,1,433.62378,1,1,1
2024,ES,8,ES21,1,916.91899,1,1,1
2024,ES,9,ES21,1,826.79604,1,1,1
2024,ES,10,ES21,1,557.56361,1,1,1
2024,ES,11,ES21,1,545.64852,1,3,1
2024,ES,13,ES21,1,703.44658,1,1,1
2024,ES,14,ES21,1,495.45410,1,1,1
2024,ES,15,ES21,1,435.47636,1,1,1
2024,ES,16,ES21,1,628.32234,1,1,1
2024,ES,17,ES21,1,510.29179,1,1,1
2024,ES,18,ES21,1,505.21071,1,1,1
2024,ES,19,ES21,1,787.36666,1,1,1
2024,ES,20,ES21,1,453.73828,1,1,1
2024,ES,21,ES21,1,446.66066,1,1,1
2024,ES,22,ES21,1,713.76043,1,1,1
2024,ES,23,ES21,1,505.21071,1,1,1
2024,ES,24,ES21,1,1541.66279,1,1,1
2024,ES,25,ES21,1,1205.59120,1,1,1
2024,ES,26,ES21,1,824.41532,1,1,1
2024,ES,27,ES21,1,496.28252,1,1,1
2024,ES,28,ES21,1,726.47834,1,1,1
2024,ES,29,ES21,1,293.79610,1,1,1
2024,ES,30,ES21,1,301.29026,1,1,1
2024,ES,31,ES21,1,580.72465,1,1,1
2024,ES,32,ES21,1,1023.88624,1,1,1
2024,ES,33,ES21,1,259.54338,1,1,1
2024,ES,34,ES21,1,308.17840,1,1,1
2024,ES,35,ES21,1,458.01148,1,1,1
2024,ES,36,ES21,1,462.77481,1,1,1
2024,ES,37,ES21,1,754.60940,1,1,1
2024,ES,38,ES21,1,489.76582,1,1,1
2024,ES,39,ES21,1,451.48167,1,1,1
2024,ES,40,ES21,1,716.81298,1,1,1
2024,ES,41,ES21,1,451.48167,1,1,1
2024,ES,42,ES21,1,287.49992,1,1,1
2024,ES,43,ES21,1,311.62400,1,1,1
2024,ES,44,ES21,1,451.48167,1,1,1
2024,ES,45,ES21,1,302.61561,1,1,1
2024,ES,46,ES21,1,428.89194,1,1,1
2024,ES,47,ES21,1,611.23809,1,1,1
2024,ES,48,ES21,1,294.34774,1,1,1
2024,ES,49,ES21,1,471.55375,1,1,1
2024,ES,50,ES21,1,536.29298,1,1,1
2024,ES,51,ES21,1,514.60565,1,1,1
2024,ES,52,ES21,1,341.86004,1,1,1
2024,ES,53,ES21,1,1023.88624,1,1,1
2024,ES,54,ES21,1,340.06226,1,1,1
