RB010,RB020,RB030,RB050,RB050_F,RB080,RB080_F,RB081,RB081_F,RB082,RB082_F,RB090,RB090_F,RB200,RB200_F,RB211,RB211_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RB280,RB280_F,RB290,RB290_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020,vrMATSOCDEP,vrLOWJOB_nuevo,vrEU2030_nuevo,RCH010,RCH010_F,RCH020,RCH020_F,RC370,RC370_F,RC370B,RC370B_F,RC380,RC380_F,RC390,RC390_F
2024,ES,101,307.66372,1,1964,1,59,1,59,1,1,1,1,1,1,1, ,-2, ,-2,102,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,102,307.66372,1,1967,1,56,1,57,1,2,1,1,1,1,1, ,-2, ,-2,101,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,201,492.73213,1,1950,1,73,1,73,1,2,1,1,1,3,1, ,-2, ,-2,202,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,202,492.73213,1,1948,1,75,1,75,1,1,1,1,1,3,1, ,-2, ,-2,201,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,301,687.86268,1,1982,1,41,1,41,1,1,1,1,1,1,1, ,-2, ,-2,302,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,302,687.86268,1,1983,1,40,1,40,1,2,1,1,1,1,1, ,-2, ,-2,301,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,303,687.86268,1,2021,1,2,1,2,1,2,1,1,1,5,1,301,1,302,1, ,-2,1,1,1,1,22,1, ,-2,0,1,0,1,0,1,0,1,691.81562,1,0,0,0,0,0,2,1,3,1, ,-4,2,1,2,1, ,-4
2024,ES,401,568.66577,1,1963,1,60,1,60,1,1,1,1,1,3,1, ,-2, ,-2,402,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,402,568.66577,1,1965,1,58,1,58,1,2,1,1,1,1,1, ,-2, ,-2,401,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,403,568.66577,1,1998,1,25,1,26,1,2,1,1,1,5,1,401,1,402,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,404,568.66577,1,2003,1,20,1,21,1,1,1,1,1,5,1,401,1,402,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,501,947.0009,1,1969,1,54,1,54,1,1,1,1,1,4,1, ,-2, ,-2,502,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,502,947.0009,1,1968,1,55,1,56,1,2,1,2,1,1,1, ,-2, ,-2,501,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,503,947.0009,1,1999,1,24,1,24,1,1,1,1,1,1,1,501,1,502,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,601,663.45974,1,1963,1,60,1,60,1,1,1,1,1,3,1, ,-2, ,-2,603,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,602,663.45974,1,1996,1,27,1,27,1,2,1,1,1,5,1,601,1,603,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,603,663.45974,1,1967,1,56,1,56,1,2,1,1,1,6,1, ,-2, ,-2,601,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,701,433.62378,1,1977,1,46,1,46,1,1,1,1,1,1,1, ,-2, ,-2,702,1,3,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,702,433.62378,1,1980,1,43,1,44,1,2,1,1,1,2,1, ,-2, ,-2,701,1,3,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,703,433.62378,1,2011,1,12,1,13,1,1,1,1,1,5,1,701,1,702,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1,2,1,3,1, ,-2, ,-4, ,-2, ,-2
2024,ES,704,433.62378,1,2015,1,8,1,8,1,1,1,1,1,5,1,701,1,702,1, ,-2,1,1,1,1, ,-2,35,1,0,1,0,1,0,1,0,1,405.74338,1,0,1,1,0,1,2,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,705,433.62378,1,2017,1,6,1,7,1,1,1,1,1,5,1,701,1,702,1, ,-2,1,1,1,1, ,-2,35,1,0,1,0,1,0,1,0,1,416.747,1,0,1,1,0,1,1,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,801,916.91899,1,1969,1,54,1,54,1,1,1,1,1,1,1, ,-2, ,-2,802,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,802,916.91899,1,1973,1,50,1,50,1,2,1,1,1,1,1, ,-2, ,-2,801,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,803,916.91899,1,2013,1,10,1,11,1,2,1,1,1,5,1,801,1,802,1, ,-2,1,1,1,1, ,-2,40,1,0,1,0,1,0,1,0,1,903.2402,1,0,0,0,0,0,2,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,804,916.91899,1,2015,1,8,1,9,1,2,1,1,1,5,1,801,1,802,1, ,-2,1,1,1,1, ,-2,45,1,0,1,0,1,0,1,0,1,889.93189,1,0,0,0,0,0,2,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,901,826.79604,1,1973,1,50,1,51,1,2,1,2,1,6,1, ,-2, ,-2,902,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1,0,1,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,902,826.79604,1,1958,1,65,1,66,1,1,1,2,1,3,1, ,-2, ,-2,901,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1001,557.56361,1,1983,1,40,1,40,1,2,1,1,1,1,1, ,-2, ,-2,1002,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,0,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1002,557.56361,1,1972,1,51,1,51,1,1,1,1,1,1,1, ,-2, ,-2,1001,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,0,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1003,557.56361,1,2017,1,6,1,6,1,2,1,2,1,5,1,1002,1,1001,1, ,-2,1,1,1,1, ,-2,38,1,0,1,4,1,0,1,0,1,535.86305,1,0,1,0,0,1,1,1,3,1,2,1,2,1,2,1, ,-4
2024,ES,1004,557.56361,1,2019,1,4,1,4,1,1,1,2,1,5,1,1002,1,1001,1, ,-2,1,1,1,1,38,1, ,-2,0,1,2,1,0,1,0,1,535.35925,1,0,1,0,0,1,1,1,3,1,2,1,2,1,2,1, ,-4
2024,ES,1101,545.64852,1,1982,1,41,1,41,1,1,1,1,1,1,1, ,-2, ,-2,1102,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1102,545.64852,1,1985,1,38,1,38,1,2,1,1,1,2,1, ,-2, ,-2,1101,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1103,545.64852,1,2018,1,5,1,5,1,1,1,1,1,5,1,1101,1,1102,1, ,-2,1,1,1,1,25,1, ,-2,15,1,0,1,0,1,0,1,545.25038,1,0,0,0,0,0,1,1,3,1,2,1,2,1,2,1, ,-4
2024,ES,1104,545.64852,1,2023,1,0,1,1,1,1,1,1,1,8,1,1101,1,1102,1, ,-2,1,1,1,1,0,1, ,-2, ,-2,0,1,0,1,0,1,516.06865,1,0,0,0,0,0,1,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,1301,703.44658,1,1982,1,41,1,42,1,1,1,1,1,1,1, ,-2, ,-2,1302,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1302,703.44658,1,1979,1,44,1,45,1,2,1,1,1,1,1, ,-2, ,-2,1301,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1303,703.44658,1,2021,1,2,1,3,1,2,1,1,1,5,1,1301,1,1302,1, ,-2,1,1,1,1,35,1, ,-2,0,1,0,1,0,1,5,1,665.79252,1,0,0,0,0,0,2,1,3,1, ,-4,1,1,2,1, ,-4
2024,ES,1401,495.4541,1,1979,1,44,1,45,1,2,1,1,1,1,1, ,-2, ,-2,1402,1,3,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,0,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1402,495.4541,1,1976,1,47,1,47,1,1,1,1,1,1,1, ,-2, ,-2,1401,1,3,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,0,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
